alignment	model
OG0000193_disco_tree3_aligned_trim.faa	LG
OG0000196_disco_tree2_aligned_trim.faa	LG
OG0000197_disco_tree1_aligned_trim.faa	LG
OG0000197_disco_tree2_aligned_trim.faa	LG
OG0000197_disco_tree3_aligned_trim.faa	LG
OG0000199_disco_tree1_aligned_trim.faa	LG
OG0000199_disco_tree2_aligned_trim.faa	LG
OG0000199_disco_tree3_aligned_trim.faa	LG
OG0000199_disco_tree4_aligned_trim.faa	LG
OG0000200_disco_tree10_aligned_trim.faa	JTTDCMut
OG0000200_disco_tree1_aligned_trim.faa	LG
OG0000200_disco_tree2_aligned_trim.faa	WAG
OG0000200_disco_tree3_aligned_trim.faa	LG
OG0000200_disco_tree4_aligned_trim.faa	LG
OG0000200_disco_tree5_aligned_trim.faa	LG
OG0000200_disco_tree6_aligned_trim.faa	LG
OG0000200_disco_tree7_aligned_trim.faa	JTTDCMut
OG0000200_disco_tree8_aligned_trim.faa	JTTDCMut
OG0000200_disco_tree9_aligned_trim.faa	LG
OG0000202_disco_tree1_aligned_trim.faa	LG
OG0000207_disco_tree2_aligned_trim.faa	LG
OG0000207_disco_tree3_aligned_trim.faa	LG
OG0000207_disco_tree5_aligned_trim.faa	LG
OG0000207_disco_tree6_aligned_trim.faa	WAG
OG0000208_disco_tree2_aligned_trim.faa	WAG
OG0000208_disco_tree3_aligned_trim.faa	WAG
OG0000210_disco_tree1_aligned_trim.faa	LG
OG0000211_disco_tree1_aligned_trim.faa	LG
OG0000211_disco_tree2_aligned_trim.faa	LG
OG0000211_disco_tree3_aligned_trim.faa	WAG
OG0000211_disco_tree4_aligned_trim.faa	WAG
OG0000211_disco_tree5_aligned_trim.faa	LG
OG0000211_disco_tree6_aligned_trim.faa	LG
OG0000211_disco_tree7_aligned_trim.faa	WAG
OG0000213_disco_tree1_aligned_trim.faa	WAG
OG0000213_disco_tree2_aligned_trim.faa	WAG
OG0000213_disco_tree3_aligned_trim.faa	WAG
OG0000216_disco_tree1_aligned_trim.faa	LG
OG0000217_disco_tree1_aligned_trim.faa	LG
OG0000217_disco_tree3_aligned_trim.faa	LG
OG0000219_disco_tree1_aligned_trim.faa	LG
OG0000219_disco_tree2_aligned_trim.faa	LG
OG0000221_disco_tree1_aligned_trim.faa	LG
OG0000221_disco_tree2_aligned_trim.faa	LG
OG0000221_disco_tree3_aligned_trim.faa	LG
OG0000221_disco_tree4_aligned_trim.faa	LG
OG0000221_disco_tree5_aligned_trim.faa	LG
OG0000221_disco_tree6_aligned_trim.faa	LG
OG0000221_disco_tree7_aligned_trim.faa	LG
OG0000224_disco_tree1_aligned_trim.faa	LG
OG0000224_disco_tree2_aligned_trim.faa	LG
OG0000224_disco_tree3_aligned_trim.faa	LG
OG0000224_disco_tree4_aligned_trim.faa	JTT
OG0000224_disco_tree5_aligned_trim.faa	VT
OG0000224_disco_tree6_aligned_trim.faa	LG
OG0000224_disco_tree7_aligned_trim.faa	LG
OG0000225_disco_tree1_aligned_trim.faa	LG
OG0000225_disco_tree2_aligned_trim.faa	LG
OG0000225_disco_tree3_aligned_trim.faa	LG
OG0000225_disco_tree4_aligned_trim.faa	LG
OG0000225_disco_tree5_aligned_trim.faa	LG
OG0000225_disco_tree6_aligned_trim.faa	LG
OG0000227_disco_tree1_aligned_trim.faa	LG
OG0000228_disco_tree2_aligned_trim.faa	LG
OG0000229_disco_tree1_aligned_trim.faa	LG
OG0000229_disco_tree2_aligned_trim.faa	WAG
OG0000229_disco_tree3_aligned_trim.faa	LG
OG0000230_disco_tree1_aligned_trim.faa	WAG
OG0000231_disco_tree1_aligned_trim.faa	LG
OG0000231_disco_tree2_aligned_trim.faa	LG
OG0000231_disco_tree3_aligned_trim.faa	LG
OG0000231_disco_tree4_aligned_trim.faa	LG
OG0000231_disco_tree5_aligned_trim.faa	LG
OG0000231_disco_tree6_aligned_trim.faa	LG
OG0000234_disco_tree1_aligned_trim.faa	LG
OG0000234_disco_tree2_aligned_trim.faa	LG
OG0000234_disco_tree3_aligned_trim.faa	LG
OG0000235_disco_tree2_aligned_trim.faa	LG
OG0000238_disco_tree2_aligned_trim.faa	WAG
OG0000238_disco_tree3_aligned_trim.faa	WAG
OG0000238_disco_tree4_aligned_trim.faa	WAG
OG0000238_disco_tree5_aligned_trim.faa	JTTDCMut
OG0000240_disco_tree1_aligned_trim.faa	LG
OG0000243_disco_tree1_aligned_trim.faa	LG
OG0000243_disco_tree2_aligned_trim.faa	FLU
OG0000243_disco_tree3_aligned_trim.faa	LG
OG0000243_disco_tree4_aligned_trim.faa	LG
OG0000243_disco_tree5_aligned_trim.faa	JTT
OG0000244_disco_tree1_aligned_trim.faa	LG
OG0000244_disco_tree2_aligned_trim.faa	LG
OG0000244_disco_tree3_aligned_trim.faa	LG
OG0000244_disco_tree4_aligned_trim.faa	LG
OG0000247_disco_tree1_aligned_trim.faa	LG
OG0000247_disco_tree2_aligned_trim.faa	LG
OG0000248_disco_tree1_aligned_trim.faa	LG
OG0000249_disco_tree1_aligned_trim.faa	WAG
OG0000249_disco_tree2_aligned_trim.faa	LG
OG0000249_disco_tree3_aligned_trim.faa	WAG
OG0000249_disco_tree4_aligned_trim.faa	Dayhoff
OG0000250_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000250_disco_tree3_aligned_trim.faa	VT
OG0000251_disco_tree1_aligned_trim.faa	WAG
OG0000251_disco_tree2_aligned_trim.faa	WAG
OG0000253_disco_tree1_aligned_trim.faa	LG
OG0000253_disco_tree3_aligned_trim.faa	LG
OG0000253_disco_tree4_aligned_trim.faa	LG
OG0000253_disco_tree5_aligned_trim.faa	LG
OG0000253_disco_tree6_aligned_trim.faa	LG
OG0000257_disco_tree1_aligned_trim.faa	LG
OG0000257_disco_tree2_aligned_trim.faa	LG
OG0000257_disco_tree3_aligned_trim.faa	LG
OG0000257_disco_tree4_aligned_trim.faa	LG
OG0000258_disco_tree1_aligned_trim.faa	LG
OG0000258_disco_tree2_aligned_trim.faa	LG
OG0000262_disco_tree1_aligned_trim.faa	WAG
OG0000266_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000266_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000267_disco_tree2_aligned_trim.faa	VT
